nu_inscricao;nu_ano;tp_faixa_etaria;tp_sexo;tp_estado_civil;tp_cor_raca;tp_nacionalidade;tp_st_conclusao;tp_ano_concluiu;tp_escola;tp_ensino;in_treineiro;co_municipio_esc;no_municipio_esc;co_uf_esc;sg_uf_esc;tp_dependencia_adm_esc;tp_localizacao_esc;tp_sit_func_esc;co_municipio_prova;no_municipio_prova;co_uf_prova;sg_uf_prova;tp_presenca_cn;tp_presenca_ch;tp_presenca_lc;tp_presenca_mt;co_prova_cn;co_prova_ch;co_prova_lc;co_prova_mt;nu_nota_cn;nu_nota_ch;nu_nota_lc;nu_nota_mt;tx_respostas_cn;tx_respostas_ch;tx_respostas_lc;tx_respostas_mt;tp_lingua;tx_gabarito_cn;tx_gabarito_ch;tx_gabarito_lc;tx_gabarito_mt;tp_status_redacao;nu_nota_comp1;nu_nota_comp2;nu_nota_comp3;nu_nota_comp4;nu_nota_comp5;nu_nota_redacao;q001;q002;q003;q004;q005;q006;q007;q008;q009;q010;q011;q012;q013;q014;q015;q016;q017;q018;q019;q020;q021;q022;q023;q024;q025
210055273540;2022;Entre 36 e 40 anos;Masculino;Solteiro(a);Branca;Brasileiro(a);Já concluí o Ensino Médio;Não informado;Não respondeu;NA;Não;NA;NA;NA;NA;NA;NA;NA;3304904;São Gonçalo;33;RJ;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Cinza;Amarela;Amarela;Cinza;391,9;401,9;418,2;448,8;ACBACDCCDDCBDBCBDAECCDDCACBCBBCDBAABBEECCECBB;BEBCDAACABAEEBADBCBADCEDBBCEADEADCEACDDCACCBE;CDCDBECBEADDCBCDEBADBCDBCECACCDABBCDBAABCEECB;CDECACDCCABDEABCDBCAEDCACAACBCDBCDADCBDCBDCBD;Espanhol;DDECDBEACCAEBEAEBBCCDDCBDDACBEACEABCEABEDADBA;ECBABCDDAAECBCBECAEBAEACDEEDABBCDDEABCEDAAADB;DECDBDCEAADDBCABEDCAAADCCECEEBABEEAAABDBCCCABEECBB;BEEDAEABDDCEBDBAAAAACXCBCCCBCCDBDEECBDCABEECD;Sem problemas;80;120;120;80;0;400;Não completou a 4ª série/5º ano do ensino fundamental;Não completou a 4ª série/5º ano do ensino fundamental;Grupo 2 (Verificar a definição no dicionário de dados);Grupo 2 (Verificar a definição no dicionário de dados);5;Até R$ 1.212,00;Não;Sim, um;Sim, um;Não;Não;Sim, um;Não;Não;Não;Não;Não;Não;Sim, um;Não;Não;Sim, um;Não;Não;Sim
210055732616;2022;Entre 31 e 35 anos;Feminino;Solteiro(a);Branca;Brasileiro(a);Já concluí o Ensino Médio;Não informado;Não respondeu;NA;Não;NA;NA;NA;NA;NA;NA;NA;3304904;São Gonçalo;33;RJ;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Amarela;Azul;Azul;Amarela;484,3;564,8;479,4;434,9;CAEDDCBADACACCBBBBCACCCEEAABEBADBBCADEBCEDCDB;BEABDADEEBACCCBABBABADBAAAEBAEDAACBEAECDBCBCD;EACACBCE*EECCDECAECAEEBDCCEDBBAADDBCAAADBEDAE;AAEACCBEEAECEACDABDCBBBAABCCAACEEABEABCCEABBA;Espanhol;EACDDEBEACCCDABCEECBBCCAEBEDABEADBADDCBDDAAEB;DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA;DCBDEEDCAAEAAACABBDBEBACCBEEECCBBDCAAADCCABEDBDECE;DBAAACEBEDAECCBECDEECBDCABECBEABDDCCDBDXCBAAC;Sem problemas;80;40;40;100;0;260;Não sei;Não completou a 4ª série/5º ano do ensino fundamental;Não Sei;Grupo 2 (Verificar a definição no dicionário de dados);2;De R$ 1.818,01 até R$ 2.424,00.;Não;Sim, um;Sim, um;Não;Não;Sim, um;Sim, um;Não;Não;Sim, um;Não;Não;Sim, um;Não;Sim;Sim, dois;Não;Não;Sim
210055811950;2022;18 anos;Feminino;Solteiro(a);Branca;Brasileiro(a);Já concluí o Ensino Médio;2021;Não respondeu;NA;Não;NA;NA;NA;NA;NA;NA;NA;3304904;São Gonçalo;33;RJ;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Amarela;Azul;Azul;Amarela;514,7;542,5;543,8;499,6;DBEDCDAEBBECBAABDBEDCDEBCBDBAABCDBBCAECDDAACB;BCACEDDEBBADCBCEAECBBDDDAAECADAABCEDEBEADCDCA;DDDDEDAEABBBBDEBBBADBDEECCBBCEAACDEBADEEBCEDC;BCCABCEEECEDABECADDCDAAEBACABBACCCEDBCBEEADDB;Inglês;EACDDEBEACCCDABCEECBBCCAEBEDABEADBADDCBDDAAEB;DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA;DCBDEEDCAAEAAACABBDBEBACCBEEECCBBDCAAADCCABEDBDECE;DBAAACEBEDAECCBECDEECBDCABECBEABDDCCDBDXCBAAC;Sem problemas;140;160;160;160;160;780;Não sei;Completou o Ensino Médio, mas não completou a Faculdade;Não Sei;Grupo 4 (Verificar a definição no dicionário de dados);2;De R$ 1.818,01 até R$ 2.424,00.;Não;Sim, um;Sim, dois;Não;Não;Sim, um;Não;Sim, um;Não;Sim, um;Não;Não;Sim, três;Não;Sim;Sim, dois;Não;Sim, um;Sim
210057853218;2022;Menor de 17 anos;Feminino;Solteiro(a);Branca;Brasileiro(a);Estou cursando e concluirei o Ensino Médio após 2022;Não informado;Não respondeu;NA;Sim;NA;NA;NA;NA;NA;NA;NA;3304904;São Gonçalo;33;RJ;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Amarela;Azul;Azul;Amarela;381,4;450,7;441,1;528,3;ABEDCDAADADABECAAEBCDDCEDABBEEBECADADDABAEADE;CCAAEEAAABABBEACEAABAEDDBDACADCECEBEBEDDEDCDA;CEDEEDEEADACCDBBACEBBACDCDABACDAAAACAABCDABEC;DBCACCDEEABCBABCDEDCEADBABCCAECEDAADEEBDCACAD;Inglês;EACDDEBEACCCDABCEECBBCCAEBEDABEADBADDCBDDAAEB;DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA;DCBDEEDCAAEAAACABBDBEBACCBEEECCBBDCAAADCCABEDBDECE;DBAAACEBEDAECCBECDEECBDCABECBEABDDCCDBDXCBAAC;Sem problemas;140;120;120;120;120;620;Completou a Faculdade, mas não completou a Pós-graduação;Completou a Faculdade, mas não completou a Pós-graduação;Grupo 4 (Verificar a definição no dicionário de dados);Grupo 4 (Verificar a definição no dicionário de dados);2;De R$ 3.030,01 até R$ 3.636,00.;Não;Sim, um;Sim, dois;Sim, um;Não;Sim, um;Não;Sim, um;Não;Sim, um;Não;Sim;Sim, um;Não;Sim;Sim, dois;Não;Sim, dois;Sim
210055837423;2022;19 anos;Feminino;Solteiro(a);Branca;Brasileiro(a);Já concluí o Ensino Médio;2020;Não respondeu;NA;Não;NA;NA;NA;NA;NA;NA;NA;3304904;São Gonçalo;33;RJ;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Rosa;Rosa;Rosa;Rosa;479,3;579,5;554,7;529,8;BDDDCCCDEAEBEBEACBDABBAADCBCACEDADDBABEDABACD;CBCAAADCEECEADDACCACBBDEBCADEEEAEECDEBBEBBDCD;CBBEDBDAEDEDBDEECBAEECAADADAEBECEACBBBCADECCB;BBAAEEBCADCBBBACDEBBBDDDBDBAEDCCABEEDEAEBDAAB;Inglês;DDCBBCCDDAADBAABEDABCEEAEBAEBECBDDEBEACCEACCD;CEDAAADBAECBCDDADEABCBECAEEDAEBABBCDECBABEACD;CDBEDACDEACAABDBDBDDCABEEECEABECABEEAAACBBEBADCCCC;CCCCBXCBABECBEABDDDBDECDBDCAACEECCEBDBAAAEDAE;Sem problemas;120;200;120;160;60;660;Completou o Ensino Médio, mas não completou a Faculdade;Completou o Ensino Médio, mas não completou a Faculdade;Grupo 3 (Verificar a definição no dicionário de dados);Grupo 2 (Verificar a definição no dicionário de dados);4;De R$ 1.212,01 até R$ 1.818,00.;Não;Sim, um;Sim, três;Não;Não;Sim, um;Sim, um;Sim, um;Não;Não;Não;Não;Sim, dois;Não;Não;Sim, um;Sim;Sim, dois;Sim
210055107129;2022;Entre 51 e 55 anos;Masculino;Solteiro(a);Branca;Brasileiro(a);Já concluí o Ensino Médio;Não informado;Não respondeu;NA;Não;NA;NA;NA;NA;NA;NA;NA;3304904;São Gonçalo;33;RJ;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Rosa;Rosa;Rosa;Rosa;439,4;619,1;509,0;427,4;BEDCBAEEEAEDCBBBABDCBEACBADCEACBCADBEDCCDECAC;ABDAECABAECBBDDACCABDBCCAEEDAEBACEDDECCBADABD;CDBEDCAAEDEEBDCAECAEBEDDEAEABBDABCAEABBADACCE;DECCDABDCAEDBEBADCBECCEEABDCADDAECBECACEDBEEB;Inglês;DDCBBCCDDAADBAABEDABCEEAEBAEBECBDDEBEACCEACCD;CEDAAADBAECBCDDADEABCBECAEEDAEBABBCDECBABEACD;CDBEDACDEACAABDBDBDDCABEEECEABECABEEAAACBBEBADCCCC;CCCCBXCBABECBEABDDDBDECDBDCAACEECCEBDBAAAEDAE;Sem problemas;100;40;80;120;120;460;Completou a 8ª série/9º ano do ensino fundamental, mas não completou o Ensino Médio;Completou a 4ª série/5º ano, mas não completou a 8ª série/9º ano do ensino fundamental;Grupo 3 (Verificar a definição no dicionário de dados);Grupo 2 (Verificar a definição no dicionário de dados);3;De R$ 2.424,01 até R$ 3.030,00.;Não;Sim, um;Sim, um;Não;Não;Sim, um;Não;Sim, um;Não;Não;Não;Sim;Sim, um;Não;Não;Sim, dois;Não;Sim, três;Sim
210057844197;2022;18 anos;Feminino;Solteiro(a);Branca;Brasileiro(a);Já concluí o Ensino Médio;2021;Não respondeu;NA;Não;NA;NA;NA;NA;NA;NA;NA;3304904;São Gonçalo;33;RJ;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Rosa;Rosa;Rosa;Rosa;627,0;628,0;571,4;821,4;BECBECCDDAADEBEACACDDEECBCBCBCCDCCCCEADDEECCD;CEDEAADBADCBBDCDBEACABBCEEEDADCAABCCECDABEDCD;CDBEDCEEEDBCBDCEABAEACBAAADABADCAACBBCDCDACCE;CAECEDCDBACCBEAADDDBBBDDBDCCACEEBBEBDBAACECAE;Inglês;DDCBBCCDDAADBAABEDABCEEAEBAEBECBDDEBEACCEACCD;CEDAAADBAECBCDDADEABCBECAEEDAEBABBCDECBABEACD;CDBEDACDEACAABDBDBDDCABEEECEABECABEEAAACBBEBADCCCC;CCCCBXCBABECBEABDDDBDECDBDCAACEECCEBDBAAAEDAE;Sem problemas;160;200;160;180;200;900;Completou o Ensino Médio, mas não completou a Faculdade;Completou a Pós-graduação;Grupo 3 (Verificar a definição no dicionário de dados);Grupo 4 (Verificar a definição no dicionário de dados);4;De R$ 4.848,01 até R$ 6.060,00.;Não;Sim, dois;Sim, dois;Sim, dois;Não;Sim, um;Sim, um;Sim, um;Não;Não;Não;Não;Sim, dois;Não;Não;Sim, três;Não;Sim, um;Sim
210055715684;2022;Menor de 17 anos;Masculino;Solteiro(a);Branca;Brasileiro(a);Estou cursando e concluirei o Ensino Médio após 2022;Não informado;Não respondeu;NA;Sim;NA;NA;NA;NA;NA;NA;NA;3304904;São Gonçalo;33;RJ;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Rosa;Rosa;Rosa;Rosa;499,0;550,2;532,0;559,2;ADABBDCECCECCBAACBACCBDABEBADCDEDDBBAACABADDC;ABDBAEDCDDCCBEDCCEACDBDCEEECACBABBDDECEBBACAA;DBBEDAAEEDBDBAEADEACBAECAAEADEEAEACBACABDACCB;EDEBCDEBBABBEEEEDCCDBDBACDAAAAECCCDDCBCAEECAD;Inglês;DDCBBCCDDAADBAABEDABCEEAEBAEBECBDDEBEACCEACCD;CEDAAADBAECBCDDADEABCBECAEEDAEBABBCDECBABEACD;CDBEDACDEACAABDBDBDDCABEEECEABECABEEAAACBBEBADCCCC;CCCCBXCBABECBEABDDDBDECDBDCAACEECCEBDBAAAEDAE;Sem problemas;120;160;100;120;140;640;Completou o Ensino Médio, mas não completou a Faculdade;Completou o Ensino Médio, mas não completou a Faculdade;Grupo 2 (Verificar a definição no dicionário de dados);Grupo 3 (Verificar a definição no dicionário de dados);4;De R$ 1.212,01 até R$ 1.818,00.;Não;Sim, um;Sim, dois;Sim, dois;Não;Sim, um;Sim, um;Sim, um;Não;Sim, um;Não;Sim;Sim, três;Não;Não;Sim, três;Não;Sim, um;Sim
210057529423;2022;17 anos;Feminino;Solteiro(a);Parda;Brasileiro(a);Estou cursando e concluirei o Ensino Médio após 2022;Não informado;Não respondeu;NA;Sim;NA;NA;NA;NA;NA;NA;NA;3304904;São Gonçalo;33;RJ;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Cinza;Amarela;Amarela;Cinza;574,4;503,4;504,0;526,5;BCECDCABDCBCBBCCCBEDCDCCCDADBECCCABEBEDABEBBA;ECAABAEEBCDBEBCDEEBEABCADDDAABBDDAEACBBAABAED;DCEAADDBBCBADCBACDCCDAABACABCADADAECDCABDDCCD;BAECECDBDCAC*CBEAABCBCEDECBECCADECAEBBACDDDAE;Espanhol;DDECDBEACCAEBEAEBBCCDDCBDDACBEACEABCEABEDADBA;ECBABCDDAAECBCBECAEBAEACDEEDABBCDDEABCEDAAADB;DECDBDCEAADDBCABEDCAAADCCECEEBABEEAAABDBCCCABEECBB;BEEDAEABDDCEBDBAAAAACXCBCCCBCCDBDEECBDCABEECD;Sem problemas;140;200;180;180;180;880;Completou a 8ª série/9º ano do ensino fundamental, mas não completou o Ensino Médio;Completou o Ensino Médio, mas não completou a Faculdade;Grupo 2 (Verificar a definição no dicionário de dados);Grupo 2 (Verificar a definição no dicionário de dados);2;Até R$ 1.212,00;Não;Sim, um;Sim, um;Não;Não;Sim, um;Não;Não;Não;Não;Não;Não;Sim, um;Não;Não;Sim, um;Não;Não;Não
210057820112;2022;Entre 26 e 30 anos;Feminino;Solteiro(a);Preta;Brasileiro(a);Já concluí o Ensino Médio;2012;Não respondeu;NA;Não;NA;NA;NA;NA;NA;NA;NA;3304904;São Gonçalo;33;RJ;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Rosa;Rosa;Rosa;Rosa;515,4;384,4;490,5;416,3;ADCBBBCDEAEADBCDCBACDBCAEDDBACACEDDBCADBDAEED;AEBEAABBDAECCBADABDAECCACEDBBC*CCACEDBCADCADB;AD*EACEBBDCEACDBCEADDEEACADBBEDAEACBBDACCAEBD;DEDB.AEDEC.CBD.ADCADEACBDAECAABADBCEADAEBDBCA;Espanhol;DDCBBCCDDAADBAABEDABCEEAEBAEBECBDDEBEACCEACCD;CEDAAADBAECBCDDADEABCBECAEEDAEBABBCDECBABEACD;CDBEDACDEACAABDBDBDDCABEEECEABECABEEAAACBBEBADCCCC;CCCCBXCBABECBEABDDDBDECDBDCAACEECCEBDBAAAEDAE;Sem problemas;120;140;120;140;160;680;Não sei;Completou a 8ª série/9º ano do ensino fundamental, mas não completou o Ensino Médio;Não Sei;Grupo 3 (Verificar a definição no dicionário de dados);2;De R$ 1.212,01 até R$ 1.818,00.;Não;Sim, um;Sim, um;Não;Não;Sim, um;Não;Sim, um;Não;Não;Não;Não;Sim, um;Não;Não;Sim, um;Não;Não;Sim
210056950166;2022;20 anos;Feminino;Solteiro(a);Branca;Brasileiro(a);Já concluí o Ensino Médio;2020;Não respondeu;NA;Não;NA;NA;NA;NA;NA;NA;NA;3304904;São Gonçalo;33;RJ;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Amarela;Azul;Azul;Amarela;596,8;597,5;528,8;571,2;EADDCEBBBDBCDABACDEABCCBAAEBADCBBCBBDDCEDABBC;DEABCDDABBDDECAEBAEBBDDDA.EBEEDACAAEBBCDBBACE;DDBDAABBEDDCEDBEBBCCCDCECEBABCBABDACADADBDEAA;AABAACADEADCABADADDCABDCCBBCBEBBABEECECDCBABE;Inglês;EACDDEBEACCCDABCEECBBCCAEBEDABEADBADDCBDDAAEB;DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA;DCBDEEDCAAEAAACABBDBEBACCBEEECCBBDCAAADCCABEDBDECE;DBAAACEBEDAECCBECDEECBDCABECBEABDDCCDBDXCBAAC;Sem problemas;120;120;120;140;160;660;Completou o Ensino Médio, mas não completou a Faculdade;Completou o Ensino Médio, mas não completou a Faculdade;Não Sei;Grupo 2 (Verificar a definição no dicionário de dados);2;De R$ 1.818,01 até R$ 2.424,00.;Não;Sim, três;Sim, dois;Não;Não;Sim, dois;Sim, um;Sim, um;Não;Sim, um;Não;Não;Sim, quatro ou mais;Sim;Não;Sim, três;Não;Sim, dois;Sim
210057536300;2022;17 anos;Masculino;Não informado;Branca;Brasileiro(a);Estou cursando e concluirei o Ensino Médio em 2022;Não informado;Privada;Ensino Regular;Não;3304904;São Gonçalo;33;RJ;Privada;Urbana;Em atividade;3304904;São Gonçalo;33;RJ;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Cinza;Amarela;Amarela;Cinza;454,5;539,2;442,3;587,3;DAEAABACADECDBBABBABBADADCDBDDCABABEDECDAEBCA;EABADAEDBBEACDAACEEBABCDEAADBBDAECEABAECBAADB;CCEAACDACEDACBEBEDACBAABBBAADCEADDBABABDDCACC;BDEEACEBABCDDABCCAAEEDEEBCCBBB*ECDBAEDCDEBDEA;Espanhol;DDECDBEACCAEBEAEBBCCDDCBDDACBEACEABCEABEDADBA;ECBABCDDAAECBCBECAEBAEACDEEDABBCDDEABCEDAAADB;DECDBDCEAADDBCABEDCAAADCCECEEBABEEAAABDBCCCABEECBB;BEEDAEABDDCEBDBAAAAACXCBCCCBCCDBDEECBDCABEECD;Sem problemas;100;120;120;140;120;600;Não sei;Completou a Faculdade, mas não completou a Pós-graduação;Não Sei;Grupo 4 (Verificar a definição no dicionário de dados);2;De R$ 3.636,01 até R$ 4.848,00.;Não;Sim, um;Sim, dois;Sim, um;Não;Sim, um;Não;Não;Não;Não;Não;Sim;Sim, um;Não;Não;Não;Sim;Sim, um;Sim
210057087367;2022;18 anos;Masculino;Solteiro(a);Branca;Brasileiro(a);Estou cursando e concluirei o Ensino Médio em 2022;Não informado;Privada;Ensino Regular;Não;NA;NA;NA;NA;NA;NA;NA;3304904;São Gonçalo;33;RJ;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Amarela;Azul;Azul;Amarela;584,2;595,9;550,8;785,2;EAECBBBAABDCDACCDDEBCCCBAEBBBAAAADCBAEDDEABDE;AEAAEADBEDAAEBBECEEBCCCAAAEBCEDAEACECEDDBBDCE;BDBDECABADDEDBEABBCCCAEECCBBACAAEDACAEAEBDECC;DBBAACEBECACCCBDBEAECEBDBBABBBAEDCCCCBDDCBAEC;Inglês;EACDDEBEACCCDABCEECBBCCAEBEDABEADBADDCBDDAAEB;DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA;DCBDEEDCAAEAAACABBDBEBACCBEEECCBBDCAAADCCABEDBDECE;DBAAACEBEDAECCBECDEECBDCABECBEABDDCCDBDXCBAAC;Sem problemas;140;180;160;140;160;780;Completou o Ensino Médio, mas não completou a Faculdade;Completou a Pós-graduação;Grupo 4 (Verificar a definição no dicionário de dados);Grupo 4 (Verificar a definição no dicionário de dados);3;De R$ 9.696,01 até R$ 10.908,00.;Não;Sim, dois;Sim, três;Sim, um;Não;Sim, um;Não;Sim, um;Não;Sim, um;Não;Sim;Sim, três;Não;Não;Sim, dois;Não;Sim, um;Sim
210056649214;2022;18 anos;Masculino;Solteiro(a);Parda;Brasileiro(a);Estou cursando e concluirei o Ensino Médio em 2022;Não informado;Privada;Ensino Regular;Não;3304904;São Gonçalo;33;RJ;Privada;Urbana;Em atividade;3304904;São Gonçalo;33;RJ;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Amarela;Azul;Azul;Amarela;441,7;419,5;462,4;533,9;ABBCCDEDBCEDABDEACAEBCCDAAACDCADDBEBDAEADDCCD;ADBEDCACDABECDAABBBEDDBAAAEDBCCAAACBEBCDBCCBD;ABBDEECBAABEEDEBABDBBACEABACECCEDDABAEAEBACEB;ECBAECDEECACBACDADDDAECEBADEAEEBDBDACEBDAEADD;Inglês;EACDDEBEACCCDABCEECBBCCAEBEDABEADBADDCBDDAAEB;DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA;DCBDEEDCAAEAAACABBDBEBACCBEEECCBBDCAAADCCABEDBDECE;DBAAACEBEDAECCBECDEECBDCABECBEABDDCCDBDXCBAAC;Sem problemas;100;120;120;120;100;560;Completou a Pós-graduação;Completou o Ensino Médio, mas não completou a Faculdade;Grupo 4 (Verificar a definição no dicionário de dados);Não Sei;5;De R$ 9.696,01 até R$ 10.908,00.;Não;Sim, três;Sim, três;Sim, um;Sim, um;Sim, um;Não;Sim, um;Não;Sim, um;Não;Sim;Sim, quatro ou mais;Sim;Sim;Sim, quatro ou mais;Sim;Sim, três;Sim
210057839113;2022;20 anos;Masculino;Solteiro(a);Branca;Brasileiro(a);Já concluí o Ensino Médio;2019;Não respondeu;NA;Não;NA;NA;NA;NA;NA;NA;NA;3304904;São Gonçalo;33;RJ;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Amarela;Azul;Azul;Amarela;586,0;667,9;586,0;646,1;DACCBECEABBCDACDADADDCAAEABBAACEDEECDDDBDEDCC;DEABEEDBBCADECBECBEBCDDBAADCEBCAEACDEBCDCBBCE;DDBDECDAAEEBBDECABCCDAEECCBBDEAAADACACAEBDEDB;BBDCACADEBDCCCBACADBBABDDCBCBCAEDABDDEEECBAEE;Inglês;EACDDEBEACCCDABCEECBBCCAEBEDABEADBADDCBDDAAEB;DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA;DCBDEEDCAAEAAACABBDBEBACCBEEECCBBDCAAADCCABEDBDECE;DBAAACEBEDAECCBECDEECBDCABECBEABDDCCDBDXCBAAC;Sem problemas;140;200;140;180;160;820;Não completou a 4ª série/5º ano do ensino fundamental;Completou a Faculdade, mas não completou a Pós-graduação;Grupo 4 (Verificar a definição no dicionário de dados);Grupo 2 (Verificar a definição no dicionário de dados);2;De R$ 1.212,01 até R$ 1.818,00.;Não;Sim, um;Sim, dois;Não;Não;Sim, um;Não;Não;Não;Não;Não;Não;Sim, um;Não;Não;Sim, dois;Não;Sim, um;Sim
210056965188;2022;Menor de 17 anos;Feminino;Solteiro(a);Branca;Brasileiro(a);Estou cursando e concluirei o Ensino Médio após 2022;Não informado;Não respondeu;NA;Sim;NA;NA;NA;NA;NA;NA;NA;3304904;São Gonçalo;33;RJ;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Rosa;Rosa;Rosa;Rosa;513,3;517,3;428,9;398,3;BBECDCCAEEAEBACECBACCAAABCECEBACADEBABBCDAADE;EBAAAEBBECAAEDEBCEACDBCEAAEAECBABDEEEDEEBCADA;CDBDECAEDAECDDBEAAAEDAAAEBEBA.AECABBEECACAABA;CBCBEAEEBEABDEBEABABCCCEDAAACADACEBEBDEDCCEAE;Inglês;DDCBBCCDDAADBAABEDABCEEAEBAEBECBDDEBEACCEACCD;CEDAAADBAECBCDDADEABCBECAEEDAEBABBCDECBABEACD;CDBEDACDEACAABDBDBDDCABEEECEABECABEEAAACBBEBADCCCC;CCCCBXCBABECBEABDDDBDECDBDCAACEECCEBDBAAAEDAE;Sem problemas;160;40;120;160;60;540;Completou a Pós-graduação;Completou a Pós-graduação;Grupo 3 (Verificar a definição no dicionário de dados);Grupo 2 (Verificar a definição no dicionário de dados);3;De R$ 7.272,01 até R$ 8.484,00.;Não;Sim, um;Sim, dois;Sim, um;Não;Sim, um;Sim, um;Sim, um;Não;Sim, um;Não;Não;Sim, dois;Sim;Não;Sim, três;Não;Sim, três;Sim
210055511099;2022;19 anos;Feminino;Solteiro(a);Branca;Brasileiro(a);Estou cursando e concluirei o Ensino Médio em 2022;Não informado;Pública;Ensino Regular;Não;3304904;São Gonçalo;33;RJ;Estadual;Urbana;Em atividade;3304904;São Gonçalo;33;RJ;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Amarela;Azul;Azul;Amarela;493,4;569,9;502,9;472,5;CECADECADACCCADABCEDACEBAABDADEEBCCDCADCABEBC;CCABBDDAEDBEEEAEBBABBDDAAAECEBDCECADEBDBEBDCC;ADCDCDDBAEAECDBCDDADAAEECCCBAEAAEDBDAEADBABCE;ADCEEDCDECACCACBACDBCECCDBCBBEECECDCBDBCDC*BE;Inglês;EACDDEBEACCCDABCEECBBCCAEBEDABEADBADDCBDDAAEB;DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA;DCBDEEDCAAEAAACABBDBEBACCBEEECCBBDCAAADCCABEDBDECE;DBAAACEBEDAECCBECDEECBDCABECBEABDDCCDBDXCBAAC;Sem problemas;140;200;160;140;120;760;Completou a 4ª série/5º ano, mas não completou a 8ª série/9º ano do ensino fundamental;Completou o Ensino Médio, mas não completou a Faculdade;Grupo 2 (Verificar a definição no dicionário de dados);Grupo 2 (Verificar a definição no dicionário de dados);3;Até R$ 1.212,00;Não;Sim, um;Sim, dois;Não;Não;Sim, um;Não;Não;Não;Não;Não;Não;Sim, um;Não;Não;Sim, dois;Sim;Não;Sim
210055815390;2022;18 anos;Feminino;Solteiro(a);Parda;Brasileiro(a);Estou cursando e concluirei o Ensino Médio após 2022;Não informado;Não respondeu;NA;Sim;NA;NA;NA;NA;NA;NA;NA;3304904;São Gonçalo;33;RJ;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Amarela;Azul;Azul;Amarela;418,2;482,6;538,4;453,5;ADDDBBCBCADACACEDBDDBCEBABBBECBDBEDADABECEAAB;ACACCAAEBEAECCDECDEBCCADABBECBADCAEAAEEDDADBB;ABCEB.AEAEAEBDBBBCCDBAEECCBDDECCADECACAEBAECE;DCDBDCBBDEECEAEBDCBEDDEBCCCBAEAADBBEABDCEDEBB;Inglês;EACDDEBEACCCDABCEECBBCCAEBEDABEADBADDCBDDAAEB;DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA;DCBDEEDCAAEAAACABBDBEBACCBEEECCBBDCAAADCCABEDBDECE;DBAAACEBEDAECCBECDEECBDCABECBEABDDCCDBDXCBAAC;Sem problemas;120;120;120;120;40;520;Completou a 8ª série/9º ano do ensino fundamental, mas não completou o Ensino Médio;Completou a 8ª série/9º ano do ensino fundamental, mas não completou o Ensino Médio;Grupo 4 (Verificar a definição no dicionário de dados);Não Sei;4;De R$ 1.818,01 até R$ 2.424,00.;Não;Sim, três;Sim, dois;Sim, um;Não;Sim, um;Sim, um;Sim, um;Não;Sim, um;Não;Não;Sim, quatro ou mais;Sim;Sim;Não;Não;Sim, um;Sim
