nu_inscricao;nu_ano;tp_faixa_etaria;tp_sexo;tp_estado_civil;tp_cor_raca;tp_nacionalidade;tp_st_conclusao;tp_ano_concluiu;tp_escola;tp_ensino;in_treineiro;co_municipio_esc;no_municipio_esc;co_uf_esc;sg_uf_esc;tp_dependencia_adm_esc;tp_localizacao_esc;tp_sit_func_esc;co_municipio_prova;no_municipio_prova;co_uf_prova;sg_uf_prova;tp_presenca_cn;tp_presenca_ch;tp_presenca_lc;tp_presenca_mt;co_prova_cn;co_prova_ch;co_prova_lc;co_prova_mt;nu_nota_cn;nu_nota_ch;nu_nota_lc;nu_nota_mt;tx_respostas_cn;tx_respostas_ch;tx_respostas_lc;tx_respostas_mt;tp_lingua;tx_gabarito_cn;tx_gabarito_ch;tx_gabarito_lc;tx_gabarito_mt;tp_status_redacao;nu_nota_comp1;nu_nota_comp2;nu_nota_comp3;nu_nota_comp4;nu_nota_comp5;nu_nota_redacao;q001;q002;q003;q004;q005;q006;q007;q008;q009;q010;q011;q012;q013;q014;q015;q016;q017;q018;q019;q020;q021;q022;q023;q024;q025
210057009556;2022;17 anos;Feminino;Solteiro(a);Parda;Brasileiro(a);Estou cursando e concluirei o Ensino Médio após 2022;Não informado;Não respondeu;NA;Sim;NA;NA;NA;NA;NA;NA;NA;3549805;São José do Rio Preto;35;SP;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Rosa;Rosa;Rosa;Rosa;471,1;504,6;515,7;565,0;BDBBCCDEBABECCBCAEADCBBBCEACECEDCDBCBEACBABDC;CBCABAABCECAAEAAECACADDEEADEADDBEBADBBBEBCAED;AECEACAABEEDBDCCCAACBDDACAEADECBBACBDAEBDECAA;EDDAAACDDDBCBEABACBDCACCDDB*EDEABCEEDAEEAECED;Espanhol;DDCBBCCDDAADBAABEDABCEEAEBAEBECBDDEBEACCEACCD;CEDAAADBAECBCDDADEABCBECAEEDAEBABBCDECBABEACD;CDBEDACDEACAABDBDBDDCABEEECEABECABEEAAACBBEBADCCCC;CCCCBXCBABECBEABDDDBDECDBDCAACEECCEBDBAAAEDAE;Sem problemas;120;120;120;100;100;560;Completou o Ensino Médio, mas não completou a Faculdade;Completou a Faculdade, mas não completou a Pós-graduação;Grupo 3 (Verificar a definição no dicionário de dados);Grupo 3 (Verificar a definição no dicionário de dados);2;De R$ 3.636,01 até R$ 4.848,00.;Não;Sim, um;Sim, um;Sim, um;Sim, um;Sim, dois;Sim, dois;Sim, um;Não;Não;Não;Sim;Sim, dois;Não;Não;Sim, dois;Não;Sim, um;Sim
210055955767;2022;Menor de 17 anos;Masculino;Solteiro(a);Branca;Brasileiro(a);Estou cursando e concluirei o Ensino Médio após 2022;Não informado;Não respondeu;NA;Sim;NA;NA;NA;NA;NA;NA;NA;3549805;São José do Rio Preto;35;SP;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Cinza;Amarela;Amarela;Cinza;583,9;478,6;481,7;620,2;ABDCDBEDCABCABCBCBCCCAACDDADBDEDDCACBABABBBCA;ECABEAEDBDDEADEEDAECBEDCCBADEEECCDAABEBABACAB;DEADBCDECACEEBEEBDCDACAABEAEBCBDBDCDABBEDBCBA;BEEBCDABADCCBABCAEADEEECBDBBDDDBDCACBBEBACDCD;Inglês;DDECDBEACCAEBEAEBBCCDDCBDDACBEACEABCEABEDADBA;ECBABCDDAAECBCBECAEBAEACDEEDABBCDDEABCEDAAADB;DECDBDCEAADDBCABEDCAAADCCECEEBABEEAAABDBCCCABEECBB;BEEDAEABDDCEBDBAAAAACXCBCCCBCCDBDEECBDCABEECD;Sem problemas;120;40;40;120;40;360;Completou o Ensino Médio, mas não completou a Faculdade;Completou o Ensino Médio, mas não completou a Faculdade;Grupo 4 (Verificar a definição no dicionário de dados);Grupo 2 (Verificar a definição no dicionário de dados);3;De R$ 2.424,01 até R$ 3.030,00.;Não;Sim, um;Sim, dois;Sim, um;Não;Sim, um;Não;Sim, um;Não;Sim, um;Não;Sim;Sim, três;Não;Sim;Sim, três;Não;Sim, três;Sim
210056077229;2022;17 anos;Feminino;Solteiro(a);Branca;Brasileiro(a);Estou cursando e concluirei o Ensino Médio em 2022;Não informado;Pública;Ensino Regular;Não;3504800;Bálsamo;35;SP;Estadual;Urbana;Em atividade;3549805;São José do Rio Preto;35;SP;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Cinza;Amarela;Amarela;Cinza;460,1;564,9;587,0;637,8;ABDACBAADBBCBACAABCBEDCCDEAACABAEEBDEEDCBACCD;EBDCBDDECAECADBDCEAEAAADDBEDADBDECAACBBCAAEAC;CCEABDDBCDDADAEAADAACCEBBCBACBDACDBCCDABEECBB;BBEEACADDABBEABDABABCACCACDECCDBBDACAEDCDDBAD;Espanhol;DDECDBEACCAEBEAEBBCCDDCBDDACBEACEABCEABEDADBA;ECBABCDDAAECBCBECAEBAEACDEEDABBCDDEABCEDAAADB;DECDBDCEAADDBCABEDCAAADCCECEEBABEEAAABDBCCCABEECBB;BEEDAEABDDCEBDBAAAAACXCBCCCBCCDBDEECBDCABEECD;Sem problemas;140;200;120;140;120;720;Completou o Ensino Médio, mas não completou a Faculdade;Completou a Faculdade, mas não completou a Pós-graduação;Grupo 4 (Verificar a definição no dicionário de dados);Grupo 2 (Verificar a definição no dicionário de dados);4;De R$ 1.212,01 até R$ 1.818,00.;Não;Sim, um;Sim, dois;Sim, um;Não;Sim, um;Sim, um;Sim, um;Não;Sim, um;Não;Sim;Sim, um;Não;Sim;Sim, três;Não;Sim, um;Sim
210056054086;2022;17 anos;Masculino;Solteiro(a);Branca;Brasileiro(a);Estou cursando e concluirei o Ensino Médio em 2022;Não informado;Pública;Ensino Regular;Não;3549805;São José do Rio Preto;35;SP;Estadual;Urbana;Em atividade;3549805;São José do Rio Preto;35;SP;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Amarela;Azul;Azul;Amarela;496,5;504,4;532,0;484,5;BEEDEABABADCCAAEDDEECDEBCBDBABDEDEABDDCBDECDB;CCABBADBCDADECBCAEDCADBBBECDACDAACBBEBCEBEDCE;DDBDEEAEABDCCAAAEDEBBEDDCCEBDEAEADBDAEAEBEECE;DAEACCBEDABCBDADCCECCDACBBCBDDCBDCCEABBDEEDCD;Inglês;EACDDEBEACCCDABCEECBBCCAEBEDABEADBADDCBDDAAEB;DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA;DCBDEEDCAAEAAACABBDBEBACCBEEECCBBDCAAADCCABEDBDECE;DBAAACEBEDAECCBECDEECBDCABECBEABDDCCDBDXCBAAC;Sem problemas;120;120;100;140;40;520;Completou a Pós-graduação;Completou o Ensino Médio, mas não completou a Faculdade;Grupo 4 (Verificar a definição no dicionário de dados);Grupo 4 (Verificar a definição no dicionário de dados);4;De R$ 4.848,01 até R$ 6.060,00.;Não;Sim, dois;Sim, três;Sim, dois;Não;Sim, um;Sim, um;Sim, um;Não;Sim, um;Não;Não;Sim, um;Não;Não;Sim, três;Não;Sim, um;Sim
210055986872;2022;18 anos;Feminino;Solteiro(a);Branca;Brasileiro(a);Estou cursando e concluirei o Ensino Médio em 2022;Não informado;Privada;Ensino Regular;Não;3549805;São José do Rio Preto;35;SP;Privada;Urbana;Em atividade;3549805;São José do Rio Preto;35;SP;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Amarela;Azul;Azul;Amarela;612,1;592,2;576,3;501,0;EABDCDCAABECDAACAACADCCAAEEBEDCEEBDDADCDDEDCD;DEABEABAEBBEEBBECAEBADDBAAEACEDAADCDAEBACBCCE;EBEAAADBAEBBBDBBDACADACECCBACECAADBCAAAEBDECE;BACDABDDBCACDBCDAECEDDCCBCABAEADDCBBCEDEBCABC;Espanhol;EACDDEBEACCCDABCEECBBCCAEBEDABEADBADDCBDDAAEB;DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA;DCBDEEDCAAEAAACABBDBEBACCBEEECCBBDCAAADCCABEDBDECE;DBAAACEBEDAECCBECDEECBDCABECBEABDDCCDBDXCBAAC;Sem problemas;120;140;120;120;160;660;Completou o Ensino Médio, mas não completou a Faculdade;Completou a Faculdade, mas não completou a Pós-graduação;Grupo 4 (Verificar a definição no dicionário de dados);Grupo 4 (Verificar a definição no dicionário de dados);4;De R$ 2.424,01 até R$ 3.030,00.;Não;Sim, dois;Sim, três;Sim, um;Não;Sim, um;Sim, um;Sim, um;Não;Sim, um;Não;Sim;Sim, dois;Não;Não;Sim, quatro ou mais;Não;Não;Sim
210056059459;2022;19 anos;Feminino;Solteiro(a);Branca;Brasileiro(a);Já concluí o Ensino Médio;2021;Não respondeu;NA;Não;NA;NA;NA;NA;NA;NA;NA;3549805;São José do Rio Preto;35;SP;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Cinza;Amarela;Amarela;Cinza;514,9;540,7;592,3;723,4;DCDACAEBBCACACDCBBCCCDABECABDBBEAEDCCB*DEABCC;ECDBBBBBBACCCBEBCEDCADADDCBCABEBAEEABBBCDAADB;CCECADEBCACADAAAADBCBEECAEBEEEBABDBCBEBBAECBB;BEBAACABDACCEDBAAACBCEEEBACBCBDEBECAEDEABCBAD;Espanhol;DDECDBEACCAEBEAEBBCCDDCBDDACBEACEABCEABEDADBA;ECBABCDDAAECBCBECAEBAEACDEEDABBCDDEABCEDAAADB;DECDBDCEAADDBCABEDCAAADCCECEEBABEEAAABDBCCCABEECBB;BEEDAEABDDCEBDBAAAAACXCBCCCBCCDBDEECBDCABEECD;Sem problemas;140;200;200;180;140;860;Completou o Ensino Médio, mas não completou a Faculdade;Completou o Ensino Médio, mas não completou a Faculdade;Grupo 3 (Verificar a definição no dicionário de dados);Grupo 4 (Verificar a definição no dicionário de dados);4;De R$ 3.030,01 até R$ 3.636,00.;Não;Sim, dois;Sim, três;Não;Não;Sim, um;Não;Não;Não;Sim, um;Não;Não;Sim, dois;Não;Não;Sim, três;Não;Sim, um;Sim
210057451784;2022;22 anos;Feminino;Solteiro(a);Branca;Brasileiro(a);Já concluí o Ensino Médio;2017;Não respondeu;NA;Não;NA;NA;NA;NA;NA;NA;NA;3549805;São José do Rio Preto;35;SP;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Amarela;Azul;Azul;Amarela;609,1;600,1;596,9;553,7;EADDDACADBCCAAAECDBBCCCACBBBADACDCBCBCBDDECAB;AEACCACAEDADEBBEACEBADDBAADBAEDDBACDBBADBBBCE;DDBDECABACDBDDABAACCBECECCBBBEAAADABCEADBEECE;ABDCCBBBEAECBBBDCCDBBEABDBCBBECDDBDACCBBDEACE;Inglês;EACDDEBEACCCDABCEECBBCCAEBEDABEADBADDCBDDAAEB;DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA;DCBDEEDCAAEAAACABBDBEBACCBEEECCBBDCAAADCCABEDBDECE;DBAAACEBEDAECCBECDEECBDCABECBEABDDCCDBDXCBAAC;Sem problemas;160;200;180;200;180;920;Não completou a 4ª série/5º ano do ensino fundamental;Completou a 8ª série/9º ano do ensino fundamental, mas não completou o Ensino Médio;Grupo 3 (Verificar a definição no dicionário de dados);Grupo 2 (Verificar a definição no dicionário de dados);4;De R$ 4.848,01 até R$ 6.060,00.;Não;Sim, dois;Sim, dois;Sim, dois;Sim, um;Sim, dois;Não;Sim, um;Sim, um;Sim, um;Não;Sim;Sim, um;Não;Não;Sim, quatro ou mais;Não;Sim, dois;Sim
210055978872;2022;17 anos;Feminino;Solteiro(a);Branca;Brasileiro(a);Estou cursando e concluirei o Ensino Médio em 2022;Não informado;Privada;Ensino Regular;Não;3549805;São José do Rio Preto;35;SP;Privada;Urbana;Em atividade;3549805;São José do Rio Preto;35;SP;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Amarela;Azul;Azul;Amarela;627,7;673,2;528,3;688,1;ECBDDECDAECCEABEBCECDECAABEDADAADDDBBCBCEADBC;DEABCEDBDCAADCBECAABCDDAADBBDBDAEACDBBCDCBBCA;DCBDEEBBAAABBBECDBADCEAEBCEADEAAABBCEEAEBCACC;CBEADBDBEDACADBDCDEDCCBCBAEBBBABDCCDDEADDEAAC;Inglês;EACDDEBEACCCDABCEECBBCCAEBEDABEADBADDCBDDAAEB;DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA;DCBDEEDCAAEAAACABBDBEBACCBEEECCBBDCAAADCCABEDBDECE;DBAAACEBEDAECCBECDEECBDCABECBEABDDCCDBDXCBAAC;Sem problemas;160;200;120;180;200;860;Completou a Faculdade, mas não completou a Pós-graduação;Completou a Pós-graduação;Grupo 4 (Verificar a definição no dicionário de dados);Grupo 4 (Verificar a definição no dicionário de dados);3;De R$ 7.272,01 até R$ 8.484,00.;Não;Sim, dois;Sim, três;Sim, um;Não;Sim, um;Sim, um;Sim, um;Não;Sim, um;Não;Sim;Sim, três;Não;Sim;Sim, três;Sim;Sim, dois;Sim
210056010212;2022;Menor de 17 anos;Masculino;Solteiro(a);Branca;Brasileiro(a);Não concluí e não estou cursando o Ensino Médio;Não informado;Não respondeu;NA;Não;NA;NA;NA;NA;NA;NA;NA;3549805;São José do Rio Preto;35;SP;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Rosa;Rosa;Rosa;Rosa;461,9;493,4;593,7;559,6;CDEDBCEADEBDBBAEABECDBACEDBACDDCDBBBDCAEEDBAC;BBCBAECCDBBADEDAAEAACBDCEBDABEDADECCBBBEBCCED;DDBEDCAEDDBCBDDCBBAEEACACACCBEEDBACBAAADDCCCB;BCDBAEBDCBDADAAEDCAEBCABDABACBDBCEABECBCAEDAD;Inglês;DDCBBCCDDAADBAABEDABCEEAEBAEBECBDDEBEACCEACCD;CEDAAADBAECBCDDADEABCBECAEEDAEBABBCDECBABEACD;CDBEDACDEACAABDBDBDDCABEEECEABECABEEAAACBBEBADCCCC;CCCCBXCBABECBEABDDDBDECDBDCAACEECCEBDBAAAEDAE;Sem problemas;120;80;120;120;120;560;Completou a Pós-graduação;Completou a Pós-graduação;Grupo 4 (Verificar a definição no dicionário de dados);Grupo 4 (Verificar a definição no dicionário de dados);3;De R$ 12.120,01 até R$ 14.544,00.;Não;Sim, três;Sim, três;Sim, um;Não;Sim, um;Sim, um;Sim, um;Não;Sim, um;Não;Sim;Sim, três;Não;Não;Sim, três;Sim;Sim, dois;Sim
210055905781;2022;Menor de 17 anos;Masculino;Solteiro(a);Branca;Brasileiro(a);Não concluí e não estou cursando o Ensino Médio;Não informado;Não respondeu;NA;Não;NA;NA;NA;NA;NA;NA;NA;3549805;São José do Rio Preto;35;SP;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Cinza;Amarela;Amarela;Cinza;475,6;544,7;484,2;626,2;CBEDCCBAADACBBCDEBCADCBDEEBCBEAEADBABCDABCCDC;EDBABEAEAEEBBDCBCEEEADECCEADECBDDDAABCBBEADEE;BEDDBDDEBEDAAADADCACCAEBBEBAACBABEEABDDBEBCBE;BDECACADDDCBBBCDEBBDEDDBCDBCCDEBEDDBCCCDDAAEB;Inglês;DDECDBEACCAEBEAEBBCCDDCBDDACBEACEABCEABEDADBA;ECBABCDDAAECBCBECAEBAEACDEEDABBCDDEABCEDAAADB;DECDBDCEAADDBCABEDCAAADCCECEEBABEEAAABDBCCCABEECBB;BEEDAEABDDCEBDBAAAAACXCBCCCBCCDBDEECBDCABEECD;Sem problemas;120;40;40;100;40;340;Completou o Ensino Médio, mas não completou a Faculdade;Completou o Ensino Médio, mas não completou a Faculdade;Grupo 2 (Verificar a definição no dicionário de dados);Grupo 2 (Verificar a definição no dicionário de dados);6;De R$ 4.848,01 até R$ 6.060,00.;Não;Sim, três;Sim, quatro ou mais;Sim, dois;Não;Sim, três;Sim, três;Sim, um;Não;Sim, um;Não;Sim;Sim, dois;Sim;Sim;Sim, quatro ou mais;Sim;Sim, dois;Sim
210056085188;2022;18 anos;Feminino;Solteiro(a);Branca;Brasileiro(a);Estou cursando e concluirei o Ensino Médio em 2022;Não informado;Pública;Ensino Regular;Não;NA;NA;NA;NA;NA;NA;NA;3549805;São José do Rio Preto;35;SP;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Amarela;Azul;Azul;Amarela;537,5;540,4;561,5;523,8;EEDCCCEEDECDCABCDCDDAECACBCBBCAECCADDDBEDABEB;CCABAADEEBADEBBDAAABACEDAAABADCABADDCECDCDCDB;ECAAADCEADECBDBCDCCCBEEEBCBADBEAADCDACAEBCCCA;BBEBEBBBBCACDDACCCCCBBDCCDBABEAAEBBCDACDEBCCB;Espanhol;EACDDEBEACCCDABCEECBBCCAEBEDABEADBADDCBDDAAEB;DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA;DCBDEEDCAAEAAACABBDBEBACCBEEECCBBDCAAADCCABEDBDECE;DBAAACEBEDAECCBECDEECBDCABECBEABDDCCDBDXCBAAC;Sem problemas;120;120;120;120;100;580;Completou o Ensino Médio, mas não completou a Faculdade;Completou a 4ª série/5º ano, mas não completou a 8ª série/9º ano do ensino fundamental;Grupo 3 (Verificar a definição no dicionário de dados);Grupo 2 (Verificar a definição no dicionário de dados);3;De R$ 1.212,01 até R$ 1.818,00.;Não;Sim, um;Sim, dois;Sim, um;Sim, um;Sim, um;Sim, um;Sim, um;Não;Não;Não;Não;Sim, um;Sim;Não;Sim, quatro ou mais;Não;Sim, um;Sim
210055977603;2022;18 anos;Feminino;Não informado;Branca;Brasileiro(a);Já concluí o Ensino Médio;2021;Não respondeu;NA;Não;NA;NA;NA;NA;NA;NA;NA;3549805;São José do Rio Preto;35;SP;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Amarela;Azul;Azul;Amarela;653,8;619,9;646,7;811,8;DAECDECEABCCDCACAEABACAAEBEEABBBDDAAAADDDDDCC;AEABCDDADEAABBAECADBBEDAAADBDECAEACDBBDDAABCE;DCBDEEAAACABBDBDAACCBAAECCBCCCCEDDCCCCADBDABE;DBAAACEBEAAECBBEDAEECBDCACBBBEADDBCCAEEDEBCAE;Inglês;EACDDEBEACCCDABCEECBBCCAEBEDABEADBADDCBDDAAEB;DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA;DCBDEEDCAAEAAACABBDBEBACCBEEECCBBDCAAADCCABEDBDECE;DBAAACEBEDAECCBECDEECBDCABECBEABDDCCDBDXCBAAC;Sem problemas;160;180;120;180;140;780;Completou a Faculdade, mas não completou a Pós-graduação;Completou o Ensino Médio, mas não completou a Faculdade;Grupo 5 (Verificar a definição no dicionário de dados);Grupo 2 (Verificar a definição no dicionário de dados);4;De R$ 4.848,01 até R$ 6.060,00.;Não;Sim, dois;Sim, três;Sim, um;Não;Sim, um;Sim, um;Sim, um;Não;Não;Não;Sim;Sim, um;Não;Não;Sim, três;Não;Sim, um;Sim
210057880777;2022;17 anos;Masculino;Solteiro(a);Branca;Brasileiro(a);Estou cursando e concluirei o Ensino Médio após 2022;Não informado;Não respondeu;NA;Sim;NA;NA;NA;NA;NA;NA;NA;3549805;São José do Rio Preto;35;SP;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Rosa;Rosa;Rosa;Rosa;606,1;568,4;552,3;775,6;BDCDBCCAEAADCBEBBBDECAECBCAABDBACAECDAEADBDCD;DBCBAADCEECBADDEDCABCABADCDEBDEACBDAEBDEBEAED;CDBEDCAABDEEBDBACEAAEAEBCAEDBAE*BADBECAEDBCAA;EACCBDCEACBBBEABDBCBDDEDEDCAACDEACEBCBDADECAA;Inglês;DDCBBCCDDAADBAABEDABCEEAEBAEBECBDDEBEACCEACCD;CEDAAADBAECBCDDADEABCBECAEEDAEBABBCDECBABEACD;CDBEDACDEACAABDBDBDDCABEEECEABECABEEAAACBBEBADCCCC;CCCCBXCBABECBEABDDDBDECDBDCAACEECCEBDBAAAEDAE;Sem problemas;160;200;160;200;200;920;Completou a Pós-graduação;Completou a Pós-graduação;Grupo 5 (Verificar a definição no dicionário de dados);Grupo 4 (Verificar a definição no dicionário de dados);2;De R$ 10.908,01 até R$ 12.120,00.;Sim, pelo menos cinco dias por semana;Sim, três;Sim, três;Sim, um;Não;Sim, um;Sim, dois;Sim, um;Não;Sim, um;Sim, um;Sim;Sim, dois;Sim;Sim;Sim, dois;Sim;Sim, dois;Sim
210056981345;2022;17 anos;Feminino;Solteiro(a);Branca;Brasileiro(a);Estou cursando e concluirei o Ensino Médio após 2022;Não informado;Não respondeu;NA;Sim;NA;NA;NA;NA;NA;NA;NA;3549805;São José do Rio Preto;35;SP;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Cinza;Amarela;Amarela;Cinza;583,5;589,1;586,0;558,5;CBECDBDBEEBCBBBBEBCCDBDCEDADBDADEABDCADAEEECD;EBBABCDEBABCBBADCDDBAAACACEDADABDDEABBECAADEB;DECDBDDBCACADDAAADCCACAABABABDAABDBAABDCCECBA;BBEEACDBDCCBEACEDBCCEDDBBBBEDACABBDBCDEACDCAD;Inglês;DDECDBEACCAEBEAEBBCCDDCBDDACBEACEABCEABEDADBA;ECBABCDDAAECBCBECAEBAEACDEEDABBCDDEABCEDAAADB;DECDBDCEAADDBCABEDCAAADCCECEEBABEEAAABDBCCCABEECBB;BEEDAEABDDCEBDBAAAAACXCBCCCBCCDBDEECBDCABEECD;Sem problemas;140;180;120;140;140;720;Completou a Faculdade, mas não completou a Pós-graduação;Completou o Ensino Médio, mas não completou a Faculdade;Grupo 5 (Verificar a definição no dicionário de dados);Grupo 2 (Verificar a definição no dicionário de dados);4;De R$ 3.030,01 até R$ 3.636,00.;Não;Sim, dois;Sim, três;Sim, dois;Não;Sim, um;Sim, um;Sim, um;Não;Não;Sim, um;Sim;Sim, quatro ou mais;Não;Sim;Sim, quatro ou mais;Não;Sim, um;Sim
210057856927;2022;17 anos;Feminino;Solteiro(a);Branca;Brasileiro(a);Estou cursando e concluirei o Ensino Médio em 2022;Não informado;Pública;Ensino Regular;Não;3549805;São José do Rio Preto;35;SP;Estadual;Urbana;Em atividade;3549805;São José do Rio Preto;35;SP;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Cinza;Amarela;Amarela;Cinza;500,8;597,0;568,8;570,9;CCDDCCCBCCAAABCBBCACCDDCECACBEABCADDAEDADCABB;EABABADDBDCCBBBDCDDEACDCDCDDABAEEDCABBBDAAEDB;CECDBDDBCADADACAADBCCDECDBDEEEBADDECBEADCECBB;BCEAECDBDCBBECBDDEEBCDECBABBDBCCCEEBCDCCDABDE;Inglês;DDECDBEACCAEBEAEBBCCDDCBDDACBEACEABCEABEDADBA;ECBABCDDAAECBCBECAEBAEACDEEDABBCDDEABCEDAAADB;DECDBDCEAADDBCABEDCAAADCCECEEBABEEAAABDBCCCABEECBB;BEEDAEABDDCEBDBAAAAACXCBCCCBCCDBDEECBDCABEECD;Sem problemas;120;180;140;120;160;720;Completou o Ensino Médio, mas não completou a Faculdade;Completou o Ensino Médio, mas não completou a Faculdade;Grupo 4 (Verificar a definição no dicionário de dados);Grupo 3 (Verificar a definição no dicionário de dados);3;De R$ 4.848,01 até R$ 6.060,00.;Não;Sim, três;Sim, três;Sim, dois;Não;Sim, um;Sim, um;Sim, um;Não;Sim, um;Não;Sim;Sim, três;Não;Não;Sim, três;Não;Sim, um;Sim
210055993007;2022;17 anos;Masculino;Solteiro(a);Branca;Brasileiro(a);Estou cursando e concluirei o Ensino Médio em 2022;Não informado;Privada;Ensino Regular;Não;3549805;São José do Rio Preto;35;SP;Privada;Urbana;Em atividade;3549805;São José do Rio Preto;35;SP;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Amarela;Azul;Azul;Amarela;531,7;517,6;434,9;597,1;DCDDBEBCBAACCBCEBEDACACEABBDECAABCACDBDEDACAC;BEABECDEBCBEAEEBDBCBACDAAADCCBCECDEDBECDBBAEE;DDBBDEBEACCACDCBEDBAEBCCDCEACAECBDBCDDEDDAEBD;ABCCBCEEECACDCEDABCAABBABCABBEDEDCCAAEBCDCAEE;Inglês;EACDDEBEACCCDABCEECBBCCAEBEDABEADBADDCBDDAAEB;DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA;DCBDEEDCAAEAAACABBDBEBACCBEEECCBBDCAAADCCABEDBDECE;DBAAACEBEDAECCBECDEECBDCABECBEABDDCCDBDXCBAAC;Sem problemas;160;140;180;200;60;740;Completou a Pós-graduação;Completou a Faculdade, mas não completou a Pós-graduação;Grupo 5 (Verificar a definição no dicionário de dados);Grupo 5 (Verificar a definição no dicionário de dados);4;De R$ 10.908,01 até R$ 12.120,00.;Não;Sim, dois;Sim, três;Sim, um;Não;Sim, um;Sim, um;Não;Não;Sim, um;Não;Não;Sim, um;Não;Não;Sim, quatro ou mais;Não;Sim, um;Sim
210056041246;2022;18 anos;Masculino;Solteiro(a);Parda;Brasileiro(a);Estou cursando e concluirei o Ensino Médio em 2022;Não informado;Pública;Ensino Regular;Não;3549805;São José do Rio Preto;35;SP;Estadual;Urbana;Em atividade;3549805;São José do Rio Preto;35;SP;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Rosa;Rosa;Rosa;Rosa;468,5;549,5;580,4;532,5;BDBBBCBDEEEDCAACBAADBADDECECAABDABBCAADCAECAA;CBCDAAEBDECBCCDCAEACBADCECABAADAEECDEABCDEBAD;CDBEDBAABDBEBCAABAAEBDEADACABEECEAEBACDDABCCD;CDDDBAEABEDCBEDCAABDBACDADBBBCEBBEDCEBCDDDAAB;Inglês;DDCBBCCDDAADBAABEDABCEEAEBAEBECBDDEBEACCEACCD;CEDAAADBAECBCDDADEABCBECAEEDAEBABBCDECBABEACD;CDBEDACDEACAABDBDBDDCABEEECEABECABEEAAACBBEBADCCCC;CCCCBXCBABECBEABDDDBDECDBDCAACEECCEBDBAAAEDAE;Sem problemas;140;180;120;120;100;660;Completou o Ensino Médio, mas não completou a Faculdade;Completou a 4ª série/5º ano, mas não completou a 8ª série/9º ano do ensino fundamental;Grupo 3 (Verificar a definição no dicionário de dados);Grupo 2 (Verificar a definição no dicionário de dados);4;De R$ 1.818,01 até R$ 2.424,00.;Não;Sim, um;Sim, dois;Sim, um;Não;Sim, um;Não;Não;Não;Não;Não;Não;Sim, um;Não;Não;Sim, três;Não;Sim, um;Sim
210057428464;2022;17 anos;Masculino;Solteiro(a);Branca;Brasileiro(a);Estou cursando e concluirei o Ensino Médio em 2022;Não informado;Pública;Ensino Regular;Não;NA;NA;NA;NA;NA;NA;NA;3549805;São José do Rio Preto;35;SP;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Rosa;Rosa;Rosa;Rosa;545,9;610,6;575,1;708,2;BAEDAACEEAABBBEBCDDBCDCDBBDABBECCCACEDDAE*BCD;DBCAAADBDECBEDEADEABBEBCECDDBDCADBCDEABEBDABD;CDBADBAEBDAEBDCECBDACCEACEBDEEEAEACBBCABECCCC;ADEABDCBEBDCBEABDCCCEAEBADABCCDDCCEADAAAAECAC;Inglês;DDCBBCCDDAADBAABEDABCEEAEBAEBECBDDEBEACCEACCD;CEDAAADBAECBCDDADEABCBECAEEDAEBABBCDECBABEACD;CDBEDACDEACAABDBDBDDCABEEECEABECABEEAAACBBEBADCCCC;CCCCBXCBABECBEABDDDBDECDBDCAACEECCEBDBAAAEDAE;Sem problemas;160;180;160;120;140;760;Completou o Ensino Médio, mas não completou a Faculdade;Completou o Ensino Médio, mas não completou a Faculdade;Grupo 4 (Verificar a definição no dicionário de dados);Grupo 2 (Verificar a definição no dicionário de dados);3;Até R$ 1.212,00;Não;Sim, dois;Sim, dois;Sim, um;Não;Sim, um;Sim, um;Sim, um;Sim, um;Sim, um;Não;Sim;Sim, um;Não;Não;Sim, três;Não;Sim, um;Sim
