nu_inscricao;nu_ano;tp_faixa_etaria;tp_sexo;tp_estado_civil;tp_cor_raca;tp_nacionalidade;tp_st_conclusao;tp_ano_concluiu;tp_escola;tp_ensino;in_treineiro;co_municipio_esc;no_municipio_esc;co_uf_esc;sg_uf_esc;tp_dependencia_adm_esc;tp_localizacao_esc;tp_sit_func_esc;co_municipio_prova;no_municipio_prova;co_uf_prova;sg_uf_prova;tp_presenca_cn;tp_presenca_ch;tp_presenca_lc;tp_presenca_mt;co_prova_cn;co_prova_ch;co_prova_lc;co_prova_mt;nu_nota_cn;nu_nota_ch;nu_nota_lc;nu_nota_mt;tx_respostas_cn;tx_respostas_ch;tx_respostas_lc;tx_respostas_mt;tp_lingua;tx_gabarito_cn;tx_gabarito_ch;tx_gabarito_lc;tx_gabarito_mt;tp_status_redacao;nu_nota_comp1;nu_nota_comp2;nu_nota_comp3;nu_nota_comp4;nu_nota_comp5;nu_nota_redacao;q001;q002;q003;q004;q005;q006;q007;q008;q009;q010;q011;q012;q013;q014;q015;q016;q017;q018;q019;q020;q021;q022;q023;q024;q025
210057675534;2022;17 anos;Feminino;Solteiro(a);Parda;Brasileiro(a);Estou cursando e concluirei o Ensino Médio em 2022;Não informado;Pública;Ensino Regular;Não;5103403;Cuiabá;51;MT;Federal;Urbana;Em atividade;5103403;Cuiabá;51;MT;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Rosa;Rosa;Rosa;Rosa;462,1;523,7;470,1;380,3;CBBDCDEEDAEECACABBEBCDADEAB*DBACDBECEAEEADBAC;DBDAADCB.DCEDCDBAEACDBBECCBDEEBAEABACDECBDABC;BEDACABDEDEDBDCCDBEECBECDCEADEDCCADBCAEADCBBB;ABDADADABCDDCECBDABEEEDEACCBDBDBEBBCEACDEAEEC;Espanhol;DDCBBCCDDAADBAABEDABCEEAEBAEBECBDDEBEACCEACCD;CEDAAADBAECBCDDADEABCBECAEEDAEBABBCDECBABEACD;CDBEDACDEACAABDBDBDDCABEEECEABECABEEAAACBBEBADCCCC;CCCCBXCBABECBEABDDDBDECDBDCAACEECCEBDBAAAEDAE;Sem problemas;120;120;120;120;120;600;Completou o Ensino Médio, mas não completou a Faculdade;Completou o Ensino Médio, mas não completou a Faculdade;Grupo 2 (Verificar a definição no dicionário de dados);Grupo 2 (Verificar a definição no dicionário de dados);4;Até R$ 1.212,00;Não;Sim, um;Sim, dois;Não;Sim, um;Sim, um;Sim, um;Sim, um;Não;Não;Não;Não;Não;Não;Não;Sim, quatro ou mais;Não;Sim, um;Sim
210055166779;2022;17 anos;Feminino;Solteiro(a);Parda;Brasileiro(a);Estou cursando e concluirei o Ensino Médio após 2022;Não informado;Não respondeu;NA;Sim;NA;NA;NA;NA;NA;NA;NA;5103403;Cuiabá;51;MT;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Rosa;Rosa;Rosa;Rosa;475,7;427,2;476,1;448,0;CEDBCBCBAEADBCADABEBEBCAABECCBBCABBADDCBDEACE;CECDABECDBEAADAEACDBCAEDCABEBDACEECAEBEABBABD;BCAEACEEDBCDBDAAACEBDEBCDECAABECCABEDACDDACAE;BADCCAEBEABBDEDBEDACBEABEDBECACDABEBDECADBBAC;Espanhol;DDCBBCCDDAADBAABEDABCEEAEBAEBECBDDEBEACCEACCD;CEDAAADBAECBCDDADEABCBECAEEDAEBABBCDECBABEACD;CDBEDACDEACAABDBDBDDCABEEECEABECABEEAAACBBEBADCCCC;CCCCBXCBABECBEABDDDBDECDBDCAACEECCEBDBAAAEDAE;Sem problemas;100;40;40;120;40;340;Não sei;Completou o Ensino Médio, mas não completou a Faculdade;Não Sei;Grupo 2 (Verificar a definição no dicionário de dados);4;De R$ 8.484,01 até R$ 9.696,00.;Não;Sim, quatro ou mais;Sim, quatro ou mais;Sim, um;Sim, um;Sim, um;Sim, um;Sim, um;Sim, um;Sim, um;Não;Não;Sim, dois;Não;Sim;Sim, quatro ou mais;Sim;Sim, um;Sim
210057238510;2022;17 anos;Feminino;Solteiro(a);Branca;Brasileiro(a);Estou cursando e concluirei o Ensino Médio após 2022;Não informado;Não respondeu;NA;Sim;NA;NA;NA;NA;NA;NA;NA;5103403;Cuiabá;51;MT;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Amarela;Azul;Azul;Amarela;468,6;579,4;607,4;542,7;EDBECDBDECCACEABCBAEBCBDBEACBEDAECBAEBEADBABC;CCABADDAEEADECEEBECBAEDCAABBACDACEEDEBEDAADCE;DCBDEEDBAECBBDBCBDCCBACECCBBDDAAEDCCADABBAEED;ADDAECABECACBDCBCDEDBAEDDABCEEECCADADAADBCBEA;Inglês;EACDDEBEACCCDABCEECBBCCAEBEDABEADBADDCBDDAAEB;DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA;DCBDEEDCAAEAAACABBDBEBACCBEEECCBBDCAAADCCABEDBDECE;DBAAACEBEDAECCBECDEECBDCABECBEABDDCCDBDXCBAAC;Sem problemas;120;180;120;120;100;640;Completou o Ensino Médio, mas não completou a Faculdade;Completou a Pós-graduação;Grupo 4 (Verificar a definição no dicionário de dados);Grupo 4 (Verificar a definição no dicionário de dados);2;De R$ 2.424,01 até R$ 3.030,00.;Não;Sim, dois;Sim, um;Sim, um;Não;Sim, um;Não;Sim, um;Não;Sim, um;Não;Não;Não;Não;Não;Sim, um;Não;Não;Sim
210054723341;2022;17 anos;Feminino;Solteiro(a);Branca;Brasileiro(a);Estou cursando e concluirei o Ensino Médio em 2022;Não informado;Privada;Ensino Regular;Não;5103403;Cuiabá;51;MT;Privada;Urbana;Em atividade;5103403;Cuiabá;51;MT;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Rosa;Rosa;Rosa;Rosa;567,0;587,3;596,2;605,1;ABDDBECDEACBCEEAEBACBBDCBCDABECCABEBADDCDADCC;CBCAAACBEDBBCDDDDEABBBBEDEEDBDBABBDADAEEBCAEB;CDDEDEAABDBEBDDEABAAECEACBCCBEADBACBBEBEDACCE;BCCCCDEBDEACBEAADACEBCBDEACABEDD*CBAEADCBEAEC;Inglês;DDCBBCCDDAADBAABEDABCEEAEBAEBECBDDEBEACCEACCD;CEDAAADBAECBCDDADEABCBECAEEDAEBABBCDECBABEACD;CDBEDACDEACAABDBDBDDCABEEECEABECABEEAAACBBEBADCCCC;CCCCBXCBABECBEABDDDBDECDBDCAACEECCEBDBAAAEDAE;Sem problemas;160;200;140;140;160;800;Completou a Faculdade, mas não completou a Pós-graduação;Completou a Faculdade, mas não completou a Pós-graduação;Grupo 4 (Verificar a definição no dicionário de dados);Grupo 4 (Verificar a definição no dicionário de dados);4;De R$ 9.696,01 até R$ 10.908,00.;Não;Sim, um;Sim, dois;Sim, um;Não;Sim, um;Sim, um;Sim, um;Não;Não;Não;Não;Sim, um;Não;Não;Sim, quatro ou mais;Não;Sim, um;Sim
210057696295;2022;18 anos;Feminino;Solteiro(a);Parda;Brasileiro(a);Estou cursando e concluirei o Ensino Médio em 2022;Não informado;Privada;Ensino Regular;Não;NA;NA;NA;NA;NA;NA;NA;5103403;Cuiabá;51;MT;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Rosa;Rosa;Rosa;Rosa;447,3;543,8;482,8;379,6;CBCCBCBADAEEDACDCBCBBCEDACDCBBECADBCCDCABADAA;CEAAABBBECBAADEABEACABDCAADAAABAAECAEBAABBDED;AADEACBADDEDACDAABABDBAAAAAAABDCBACBAACBCBBAA;DCCBACEBABADBEDCABDBCBDECBABCCABEEDEDAECDBDBB;Espanhol;DDCBBCCDDAADBAABEDABCEEAEBAEBECBDDEBEACCEACCD;CEDAAADBAECBCDDADEABCBECAEEDAEBABBCDECBABEACD;CDBEDACDEACAABDBDBDDCABEEECEABECABEEAAACBBEBADCCCC;CCCCBXCBABECBEABDDDBDECDBDCAACEECCEBDBAAAEDAE;Sem problemas;120;100;100;120;120;560;Completou a 4ª série/5º ano, mas não completou a 8ª série/9º ano do ensino fundamental;Completou a 4ª série/5º ano, mas não completou a 8ª série/9º ano do ensino fundamental;Grupo 4 (Verificar a definição no dicionário de dados);Grupo 2 (Verificar a definição no dicionário de dados);2;Até R$ 1.212,00;Não;Sim, dois;Sim, dois;Não;Não;Sim, um;Sim, um;Não;Não;Não;Não;Não;Sim, dois;Sim;Não;Sim, dois;Não;Sim, um;Sim
210057719084;2022;17 anos;Feminino;Solteiro(a);Preta;Brasileiro(a);Estou cursando e concluirei o Ensino Médio em 2022;Não informado;Pública;Ensino Regular;Não;5103403;Cuiabá;51;MT;Estadual;Urbana;Em atividade;5103403;Cuiabá;51;MT;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Cinza;Amarela;Amarela;Cinza;422,0;555,8;528,5;617,6;ADDECCEAEECBBCCAABCCCACEEBBEEEEEEBEEBEDBBEBAE;EDEABADEAADBBBADEAADACAECCADAEDDDBEAE*EDAAACE;CAEAAECDCACACDEAADADEDCABEEACBBADDBCCCABBEDEB;BDEAEBACDABBBAACBBEBCDDECACCAAEEEECCBBAACADAD;Espanhol;DDECDBEACCAEBEAEBBCCDDCBDDACBEACEABCEABEDADBA;ECBABCDDAAECBCBECAEBAEACDEEDABBCDDEABCEDAAADB;DECDBDCEAADDBCABEDCAAADCCECEEBABEEAAABDBCCCABEECBB;BEEDAEABDDCEBDBAAAAACXCBCCCBCCDBDEECBDCABEECD;Sem problemas;120;200;120;160;120;720;Completou o Ensino Médio, mas não completou a Faculdade;Completou o Ensino Médio, mas não completou a Faculdade;Grupo 4 (Verificar a definição no dicionário de dados);Grupo 4 (Verificar a definição no dicionário de dados);4;De R$ 7.272,01 até R$ 8.484,00.;Não;Sim, um;Sim, dois;Sim, um;Não;Sim, um;Não;Sim, um;Não;Sim, um;Não;Não;Sim, um;Não;Não;Sim, quatro ou mais;Não;Não;Sim
210057563705;2022;18 anos;Feminino;Solteiro(a);Parda;Brasileiro(a);Estou cursando e concluirei o Ensino Médio em 2022;Não informado;Pública;Ensino Regular;Não;5103403;Cuiabá;51;MT;Estadual;Urbana;Em atividade;5103403;Cuiabá;51;MT;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Rosa;Rosa;Rosa;Rosa;474,1;539,8;576,3;531,6;BDBECCBBDEABEDEACABCBABBEBBABBEACEEBADADACBAD;BEDAAADCADBCCBDADAABDAAEEEAADADAEACAEBEEBBADC;ACDEACAABDADADDACDACEEEAAADAAEECBACBCBBCDBCCA;BACABAECDCBCBEABEBEEBCBEDEBABECAECCEBADEBEDEA;Espanhol;DDCBBCCDDAADBAABEDABCEEAEBAEBECBDDEBEACCEACCD;CEDAAADBAECBCDDADEABCBECAEEDAEBABBCDECBABEACD;CDBEDACDEACAABDBDBDDCABEEECEABECABEEAAACBBEBADCCCC;CCCCBXCBABECBEABDDDBDECDBDCAACEECCEBDBAAAEDAE;Sem problemas;120;120;120;120;120;600;Completou a 8ª série/9º ano do ensino fundamental, mas não completou o Ensino Médio;Completou a 4ª série/5º ano, mas não completou a 8ª série/9º ano do ensino fundamental;Grupo 2 (Verificar a definição no dicionário de dados);Grupo 2 (Verificar a definição no dicionário de dados);2;De R$ 1.818,01 até R$ 2.424,00.;Não;Sim, um;Sim, dois;Sim, um;Não;Sim, um;Não;Sim, um;Sim, um;Não;Não;Não;Sim, um;Não;Não;Sim, dois;Não;Não;Sim
210054663632;2022;17 anos;Feminino;Solteiro(a);Branca;Brasileiro(a);Estou cursando e concluirei o Ensino Médio em 2022;Não informado;Privada;Ensino Regular;Não;NA;NA;NA;NA;NA;NA;NA;5103403;Cuiabá;51;MT;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Rosa;Rosa;Rosa;Rosa;551,8;471,2;475,5;560,3;CDCBBCABDAABDEBEABABBEDCAAEBACBCDBECABECBBDCB;EBAEAAECAEABCDDCAABBAEDCABECDEDBEDEABBCBBCDCC;BCDEDCABADBDDCAACAEDEEAADAACDBCBBADBABDEDEECE;DEDCAEDEABDCBEEBDCDBABCADABCDCABBADCEACDEEABC;Espanhol;DDCBBCCDDAADBAABEDABCEEAEBAEBECBDDEBEACCEACCD;CEDAAADBAECBCDDADEABCBECAEEDAEBABBCDECBABEACD;CDBEDACDEACAABDBDBDDCABEEECEABECABEEAAACBBEBADCCCC;CCCCBXCBABECBEABDDDBDECDBDCAACEECCEBDBAAAEDAE;Sem problemas;120;140;100;100;100;560;Não sei;Completou a 8ª série/9º ano do ensino fundamental, mas não completou o Ensino Médio;Não Sei;Grupo 4 (Verificar a definição no dicionário de dados);3;Nenhuma Renda;Sim, pelo menos cinco dias por semana;Sim, três;Sim, três;Sim, dois;Sim, um;Sim, um;Sim, um;Sim, um;Não;Não;Não;Sim;Sim, quatro ou mais;Não;Não;Sim, três;Não;Sim, dois;Sim
210055149187;2022;19 anos;Feminino;Solteiro(a);Parda;Brasileiro(a);Já concluí o Ensino Médio;2021;Não respondeu;NA;Não;NA;NA;NA;NA;NA;NA;NA;5103403;Cuiabá;51;MT;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Rosa;Rosa;Rosa;Rosa;525,9;596,2;473,9;645,0;CECCCACECAABDDADCDCBDBDCBCABAEECCBACADBDEECCC;EBDAAADCDCCBAEDBAAABEBEEEEADADBACBAEEBCABCACD;AEDEADAABDBEDDCADBAEEAAACCCCCCAAAAAAAAAAAAAAA;ECDCBDDECCACBBABDCACBDCDDCCCCCBBDBDBCCCCBECAD;Espanhol;DDCBBCCDDAADBAABEDABCEEAEBAEBECBDDEBEACCEACCD;CEDAAADBAECBCDDADEABCBECAEEDAEBABBCDECBABEACD;CDBEDACDEACAABDBDBDDCABEEECEABECABEEAAACBBEBADCCCC;CCCCBXCBABECBEABDDDBDECDBDCAACEECCEBDBAAAEDAE;Sem problemas;120;200;140;160;120;740;Completou o Ensino Médio, mas não completou a Faculdade;Completou o Ensino Médio, mas não completou a Faculdade;Grupo 4 (Verificar a definição no dicionário de dados);Grupo 2 (Verificar a definição no dicionário de dados);6;De R$ 2.424,01 até R$ 3.030,00.;Não;Sim, dois;Sim, três;Sim, um;Não;Sim, um;Sim, um;Sim, um;Sim, um;Não;Não;Não;Não;Não;Não;Sim, três;Não;Sim, um;Sim
210056238132;2022;22 anos;Masculino;Solteiro(a);Branca;Brasileiro(a);Já concluí o Ensino Médio;Não informado;Não respondeu;NA;Não;NA;NA;NA;NA;NA;NA;NA;5103403;Cuiabá;51;MT;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Cinza;Amarela;Amarela;Cinza;529,6;484,8;419,9;480,9;DBEEDCEEBAAECBDACEDEABEBDEBE.DBCEEBDDABEA...A;ECDABBEAADECABDAAEDAAACB.ADAEBDAEECABAAADABEC;ABEEAADCBBDBEEBCADAEEAAEDBECBDEAECACADACCBDCD;BEBBEBAAEACDABCDCECEDBBECCDBADDCAECEAABADDEAC;Espanhol;DDECDBEACCAEBEAEBBCCDDCBDDACBEACEABCEABEDADBA;ECBABCDDAAECBCBECAEBAEACDEEDABBCDDEABCEDAAADB;DECDBDCEAADDBCABEDCAAADCCECEEBABEEAAABDBCCCABEECBB;BEEDAEABDDCEBDBAAAAACXCBCCCBCCDBDEECBDCABEECD;Sem problemas;100;120;120;120;80;540;Completou a Faculdade, mas não completou a Pós-graduação;Completou a Pós-graduação;Grupo 2 (Verificar a definição no dicionário de dados);Grupo 4 (Verificar a definição no dicionário de dados);3;De R$ 1.212,01 até R$ 1.818,00.;Não;Sim, três;Sim, três;Não;Não;Sim, um;Sim, um;Sim, um;Não;Não;Não;Não;Sim, dois;Não;Não;Sim, três;Não;Sim, um;Sim
210056773871;2022;18 anos;Feminino;Solteiro(a);Branca;Brasileiro(a);Estou cursando e concluirei o Ensino Médio em 2022;Não informado;Pública;Ensino Regular;Não;NA;NA;NA;NA;NA;NA;NA;5103403;Cuiabá;51;MT;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Amarela;Azul;Azul;Amarela;477,1;492,6;429,1;502,7;ABBACBDCCBBCBABBCDCBBCCDCDBCEEDBCCDACBDBDEDCB;BEABCBBACDACBAEEABA.ACDCAAEABBDCBADCCEBABCDAB;DABACDCDABCABBBABCAABBBEBCBABAEABDBCCCABCABAC;BACBBCDEACABCBACCECDCCDBBDACBADEBBDDBCDCBBABC;Espanhol;EACDDEBEACCCDABCEECBBCCAEBEDABEADBADDCBDDAAEB;DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA;DCBDEEDCAAEAAACABBDBEBACCBEEECCBBDCAAADCCABEDBDECE;DBAAACEBEDAECCBECDEECBDCABECBEABDDCCDBDXCBAAC;Sem problemas;120;140;120;120;140;640;Completou o Ensino Médio, mas não completou a Faculdade;Completou a Pós-graduação;Grupo 4 (Verificar a definição no dicionário de dados);Grupo 4 (Verificar a definição no dicionário de dados);4;De R$ 3.636,01 até R$ 4.848,00.;Não;Sim, dois;Sim, três;Sim, um;Sim, um;Sim, um;Sim, um;Sim, um;Sim, um;Não;Não;Não;Sim, um;Não;Sim;Sim, três;Não;Não;Sim
210054810775;2022;17 anos;Masculino;Solteiro(a);Branca;Brasileiro(a);Estou cursando e concluirei o Ensino Médio em 2022;Não informado;Privada;Ensino Regular;Não;NA;NA;NA;NA;NA;NA;NA;5103403;Cuiabá;51;MT;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Rosa;Rosa;Rosa;Rosa;460,7;585,2;383,8;603,2;BDEADEABAAEBECACBBADCABDAEDADBDCDDCBCEBCEBDAC;ABCEBACBCECBAADA.CABDBACEDADAEBABBCDEBAEBCACB;AABECCAABCBCDDCBEADBBEAAEBBCEADEABAAAAAEDBDAC;ABACEADBACBDBBACDBDDCBDDCBDCDABCBCBDCDADDEAAC;Inglês;DDCBBCCDDAADBAABEDABCEEAEBAEBECBDDEBEACCEACCD;CEDAAADBAECBCDDADEABCBECAEEDAEBABBCDECBABEACD;CDBEDACDEACAABDBDBDDCABEEECEABECABEEAAACBBEBADCCCC;CCCCBXCBABECBEABDDDBDECDBDCAACEECCEBDBAAAEDAE;Sem problemas;140;200;120;140;160;760;Completou o Ensino Médio, mas não completou a Faculdade;Completou a Faculdade, mas não completou a Pós-graduação;Grupo 3 (Verificar a definição no dicionário de dados);Grupo 2 (Verificar a definição no dicionário de dados);2;Até R$ 1.212,00;Não;Sim, um;Sim, dois;Não;Não;Sim, um;Não;Sim, um;Não;Sim, um;Não;Não;Sim, um;Não;Não;Sim, dois;Não;Sim, um;Sim
210056205318;2022;21 anos;Masculino;Solteiro(a);Preta;Brasileiro(a);Já concluí o Ensino Médio;Não informado;Não respondeu;NA;Não;NA;NA;NA;NA;NA;NA;NA;5103403;Cuiabá;51;MT;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Amarela;Azul;Azul;Amarela;433,9;499,3;402,2;478,3;BCBEBEADECBDCDACADDABCEDCEBEBCDBECEBCBDCBBCDB;DEACCCDBEDADDBCBCCBBDBBDCBEBAACADBEDDBDCBBCEA;DBCEBBCDACADCAADBCAAEADEBBEECADEBCBBACAEEDDDA;BCCBECCAECDCCECCBBDEABCADDBADEAADDDEBACDBBDCA;Inglês;EACDDEBEACCCDABCEECBBCCAEBEDABEADBADDCBDDAAEB;DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA;DCBDEEDCAAEAAACABBDBEBACCBEEECCBBDCAAADCCABEDBDECE;DBAAACEBEDAECCBECDEECBDCABECBEABDDCCDBDXCBAAC;Sem problemas;100;100;100;120;0;420;Completou a 4ª série/5º ano, mas não completou a 8ª série/9º ano do ensino fundamental;Não completou a 4ª série/5º ano do ensino fundamental;Grupo 1 (Verificar a definição no dicionário de dados);Grupo 1 (Verificar a definição no dicionário de dados);1;De R$ 1.212,01 até R$ 1.818,00.;Não;Sim, um;Sim, dois;Não;Não;Sim, um;Sim, um;Não;Não;Não;Não;Não;Não;Não;Não;Sim, um;Não;Sim, um;Sim
210057712821;2022;17 anos;Feminino;Solteiro(a);Parda;Brasileiro(a);Estou cursando e concluirei o Ensino Médio em 2022;Não informado;Pública;Ensino Regular;Não;5103403;Cuiabá;51;MT;Estadual;Urbana;Em atividade;5103403;Cuiabá;51;MT;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Rosa;Rosa;Rosa;Rosa;443,2;524,5;471,4;426,6;ACAABDCECAECEBCC.BACBDCCAEBAACDCACDBAEEDEBBAA;DBCBADBCDEBAADEBAEABDBECEBAAEACABEDCEABEBBAAC;AEDCADADCCBEDAADAEACEAAAAACEBECBEACBABADEACDD;CBDEBEDCCDABAECACDCADDBDDECBDCDBCBBEDECABADDE;Espanhol;DDCBBCCDDAADBAABEDABCEEAEBAEBECBDDEBEACCEACCD;CEDAAADBAECBCDDADEABCBECAEEDAEBABBCDECBABEACD;CDBEDACDEACAABDBDBDDCABEEECEABECABEEAAACBBEBADCCCC;CCCCBXCBABECBEABDDDBDECDBDCAACEECCEBDBAAAEDAE;Sem problemas;120;200;120;160;0;600;Completou o Ensino Médio, mas não completou a Faculdade;Completou o Ensino Médio, mas não completou a Faculdade;Grupo 3 (Verificar a definição no dicionário de dados);Grupo 2 (Verificar a definição no dicionário de dados);3;De R$ 1.818,01 até R$ 2.424,00.;Não;Sim, dois;Sim, três;Sim, um;Não;Sim, um;Sim, um;Não;Não;Não;Não;Não;Sim, um;Não;Sim;Sim, três;Sim;Não;Sim
210054700590;2022;22 anos;Feminino;Solteiro(a);Parda;Brasileiro(a);Já concluí o Ensino Médio;2017;Não respondeu;NA;Não;NA;NA;NA;NA;NA;NA;NA;5103403;Cuiabá;51;MT;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Cinza;Amarela;Amarela;Cinza;438,6;426,7;573,9;571,7;ABBEADADCEEECCABBCCBCDEDCEADBDAEAEDBCBDCBAABA;ECEBACBCDACCADCBCEEEBCBCBDCCDEBCDCDECDBDCECDD;DCEACAEECADADCEBBDCCBDECDABAEBEADDACCDABDECBB;BCEBECDEDBCBEBEBBABADDACCDABCDBEABADCECDBCBEB;Espanhol;DDECDBEACCAEBEAEBBCCDDCBDDACBEACEABCEABEDADBA;ECBABCDDAAECBCBECAEBAEACDEEDABBCDDEABCEDAAADB;DECDBDCEAADDBCABEDCAAADCCECEEBABEEAAABDBCCCABEECBB;BEEDAEABDDCEBDBAAAAACXCBCCCBCCDBDEECBDCABEECD;Sem problemas;140;200;160;200;200;900;Completou o Ensino Médio, mas não completou a Faculdade;Completou o Ensino Médio, mas não completou a Faculdade;Grupo 2 (Verificar a definição no dicionário de dados);Grupo 4 (Verificar a definição no dicionário de dados);4;De R$ 3.030,01 até R$ 3.636,00.;Não;Sim, dois;Sim, três;Não;Não;Sim, um;Não;Sim, um;Sim, um;Não;Não;Sim;Sim, dois;Sim;Sim;Sim, três;Sim;Sim, um;Sim
210054968292;2022;18 anos;Masculino;Divorciado(a)/Desquitado(a)/Separado(a);Preta;Brasileiro(a) Naturalizado(a);Estou cursando e concluirei o Ensino Médio em 2022;Não informado;Pública;Ensino Regular;Não;5103403;Cuiabá;51;MT;Estadual;Urbana;Em atividade;5103403;Cuiabá;51;MT;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Rosa;Rosa;Rosa;Rosa;433,3;453,9;415,2;408,9;ACCCBCEEDCECCDECCBAABBDBBACCBBDCDCCEDDDBBCAAC;ABDEBABEAEAEDCAECDACACAEBCCDEDBACADCDBACBBDCA;BEDACCABDDCCBACBAEADADCACBEEABECECCEDBCCCDEAD;EEBCDCBDDEDBBDDCDCEECCDECDAEDEDCDADEDCEEDCDCD;Inglês;DDCBBCCDDAADBAABEDABCEEAEBAEBECBDDEBEACCEACCD;CEDAAADBAECBCDDADEABCBECAEEDAEBABBCDECBABEACD;CDBEDACDEACAABDBDBDDCABEEECEABECABEEAAACBBEBADCCCC;CCCCBXCBABECBEABDDDBDECDBDCAACEECCEBDBAAAEDAE;Sem problemas;120;180;120;120;40;580;Completou a Pós-graduação;Completou o Ensino Médio, mas não completou a Faculdade;Não Sei;Grupo 3 (Verificar a definição no dicionário de dados);4;De R$ 2.424,01 até R$ 3.030,00.;Não;Sim, dois;Sim, três;Sim, um;Não;Sim, um;Sim, um;Sim, um;Não;Sim, um;Não;Não;Sim, um;Não;Não;Sim, três;Sim;Sim, dois;Sim
210054924546;2022;17 anos;Masculino;Solteiro(a);Branca;Brasileiro(a);Estou cursando e concluirei o Ensino Médio em 2022;Não informado;Privada;Ensino Regular;Não;5103403;Cuiabá;51;MT;Privada;Urbana;Em atividade;5103403;Cuiabá;51;MT;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Rosa;Rosa;Rosa;Rosa;477,0;599,9;607,9;478,0;CDBAEB.CDEAACBDDACADEBDCBEAAACEBDEACA.ABACECC;ABDAAAEBDEBBEDEDDEACDBBEACADAEBABBDDEDBABACCD;CDBEDEAABDBEBDDAAAEAEDCAEADEBEEDBACBBCBADEBCC;CBBDBADCECBADDABDABEADBACACBAEADACECBBCEDBAED;Inglês;DDCBBCCDDAADBAABEDABCEEAEBAEBECBDDEBEACCEACCD;CEDAAADBAECBCDDADEABCBECAEEDAEBABBCDECBABEACD;CDBEDACDEACAABDBDBDDCABEEECEABECABEEAAACBBEBADCCCC;CCCCBXCBABECBEABDDDBDECDBDCAACEECCEBDBAAAEDAE;Sem problemas;120;160;120;120;100;620;Completou a Faculdade, mas não completou a Pós-graduação;Não sei;Não Sei;Não Sei;2;De R$ 3.030,01 até R$ 3.636,00.;Não;Sim, três;Sim, três;Não;Não;Sim, um;Sim, um;Sim, um;Não;Sim, um;Não;Não;Sim, um;Não;Não;Sim, dois;Não;Sim, um;Sim
210054865383;2022;18 anos;Masculino;Solteiro(a);Branca;Brasileiro(a);Estou cursando e concluirei o Ensino Médio em 2022;Não informado;Privada;Ensino Regular;Não;5103403;Cuiabá;51;MT;Privada;Urbana;Em atividade;5103403;Cuiabá;51;MT;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Amarela;Azul;Azul;Amarela;441,5;504,0;525,8;572,3;EBDECECCDEEACCCADEADDEEEBBBACBBBDDCBEEBCEABEC;CCAAEBDEEEABEBEEACEBEBBDAEABDBBDAAEBCEADEAADD;DCBDECDCAEDCDDBBEBCBEAEABCBBAACAAEBDDBADBDECB;CDBDBCBBECACCDDDAECAAEDACCDBCEDADCAADBBAEBDCC;Inglês;EACDDEBEACCCDABCEECBBCCAEBEDABEADBADDCBDDAAEB;DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA;DCBDEEDCAAEAAACABBDBEBACCBEEECCBBDCAAADCCABEDBDECE;DBAAACEBEDAECCBECDEECBDCABECBEABDDCCDBDXCBAAC;Sem problemas;160;40;40;120;40;400;Completou a Faculdade, mas não completou a Pós-graduação;Completou a Pós-graduação;Grupo 5 (Verificar a definição no dicionário de dados);Grupo 5 (Verificar a definição no dicionário de dados);4;De R$ 10.908,01 até R$ 12.120,00.;Sim, pelo menos cinco dias por semana;Sim, três;Sim, três;Sim, três;Não;Sim, um;Sim, dois;Sim, um;Não;Sim, um;Não;Sim;Sim, quatro ou mais;Não;Sim;Sim, quatro ou mais;Não;Sim, três;Sim
